MasterFile,KABCO,County,RT_UNIQUE,Milepoint,Latitude,Longitude,MannerofCollision,CollisionDate,CollisionTime,CollisionYear,RdwyConditionCode,Weather,Human_Factors,Environmental_Factors,Vehicular_Factors,Mode
72886212,O,PIKE,098-CS-1105 -000,0.021,37.47604576,-82.52230854,SINGLE VEHICLE,20230411,1840,2023,DRY,CLEAR,,,,
73179426,O,PIKE,098-CS-1107 -000,0.058,37.47637646,-82.5210906,BACKING,20250425,1151,2025,DRY,CLEAR,INATTENTION,,,
73042495,O,PIKE,098-CS-1120 -000,0.061,37.48276319,-82.51830617,BACKING,20240509,1206,2024,DRY,CLEAR,INATTENTION,,,
72851515,O,PIKE,098-CS-1123 -000,0.117,37.47788001,-82.5187972,SIDESWIPE-SAME DIRECTION,20230105,2114,2023,DRY,CLEAR,INATTENTION,,,
72810839,O,PIKE,098-CS-1123 -000,0.155,37.47822629,-82.51932681,OPPOSING LEFT TURN,20220929,1735,2022,DRY,CLEAR,INATTENTION,,,
73237682,O,PIKE,098-CS-1123 -000,0.207,37.47871715,-82.52006655,REAR END,20250926,1413,2025,DRY,CLEAR,INATTENTION,,,
73125111,A,PIKE,098-CS-1123 -000,0.209,37.47872364,-82.52010057,SINGLE VEHICLE,20241203,959,2024,DRY,CLEAR,INATTENTION,,,PEDESTRIAN
73118671,B,PIKE,098-CS-1123 -000,0.21,37.47872949,-82.52010535,SINGLE VEHICLE,20241115,1652,2024,WET,RAINING,,,,PEDESTRIAN
72921233,O,PIKE,098-CS-1127 -000,0.015,37.47915042,-82.51919255,SIDESWIPE-SAME DIRECTION,20230711,1408,2023,DRY,CLEAR,,,,
73194939,O,PIKE,098-CS-1127 -000,0.04,37.47894874,-82.51880943,SIDESWIPE-SAME DIRECTION,20250528,1425,2025,DRY,CLEAR,,,,
73022144,O,PIKE,098-CS-1127 -000,0.07,37.47870874,-82.5183492,SIDESWIPE-SAME DIRECTION,20240311,2135,2024,DRY,CLEAR,INATTENTION,,,
72920382,O,PIKE,098-CS-1130 -000,0.038,37.48017455,-82.51849747,SIDESWIPE-SAME DIRECTION,20230612,1544,2023,DRY,CLEAR,,,,
72591215,O,PIKE,098-CS-1130 -000,0.051,37.48005067,-82.51831009,REAR END,20210204,901,2021,DRY,CLOUDY,INATTENTION,,,
